date,location,vaccine,total_vaccinations
2021-10-29,Norway,Oxford/AstraZeneca,4
2021-10-30,Norway,Moderna,457
2021-10-30,Norway,Oxford/AstraZeneca,4
2021-10-31,Norway,Moderna,457
2021-10-31,Norway,Oxford/AstraZeneca,4
2021-11-01,Norway,Moderna,457
2021-11-01,Norway,Oxford/AstraZeneca,4
2021-11-02,Norway,Moderna,457
2021-11-02,Norway,Oxford/AstraZeneca,4
2021-11-03,Norway,Moderna,457
2021-11-03,Norway,Oxford/AstraZeneca,4
2021-11-04,Norway,Moderna,457
2021-11-04,Norway,Oxford/AstraZeneca,4
2021-11-05,Norway,Moderna,1244
2021-11-05,Norway,Oxford/AstraZeneca,5
2021-11-06,Norway,Moderna,1244
2021-11-06,Norway,Oxford/AstraZeneca,5
2021-11-07,Norway,Moderna,1244
