date,location,vaccine,total_vaccinations
2021-05-19,Italy,Johnson&Johnson,20089
2021-05-19,Italy,Oxford/AstraZeneca,90266
2021-05-20,Italy,Pfizer/BioNTech,413416
2021-05-20,Italy,Johnson&Johnson,18706
2021-05-20,Italy,Oxford/AstraZeneca,95676
2021-05-21,Italy,Pfizer/BioNTech,332208
2021-05-21,Italy,Johnson&Johnson,38386
2021-05-21,Italy,Oxford/AstraZeneca,86596
2021-05-22,Italy,Pfizer/BioNTech,256273
2021-05-22,Italy,Johnson&Johnson,36004
2021-05-22,Italy,Oxford/AstraZeneca,60619
2021-05-23,Italy,Pfizer/BioNTech,282103
2021-05-23,Italy,Johnson&Johnson,32528
2021-05-23,Italy,Oxford/AstraZeneca,81002
2021-05-24,Italy,Pfizer/BioNTech,250567
2021-05-24,Italy,Johnson&Johnson,29452
2021-05-24,Italy,Oxford/AstraZeneca,102175
2021-05-25,Italy,Pfizer/BioNTech,282310
2021-05-25,Italy,Johnson&Johnson,31152
2021-05-25,Italy,Oxford/AstraZeneca,106993
2021-05-26,Italy,Pfizer/BioNTech,391973
2021-05-26,Italy,Johnson&Johnson,22119
2021-05-26,Italy,Oxford/AstraZeneca,100279
2021-05-27,Italy,Pfizer/BioNTech,413221
2021-05-27,Italy,Johnson&Johnson,20536
2021-05-27,Italy,Oxford/AstraZeneca,98919
2021-05-28,Italy,Pfizer/BioNTech,373070
2021-05-28,Italy,Johnson&Johnson,19093
2021-05-28,Italy,Oxford/AstraZeneca,75962
2021-05-29,Italy,Pfizer/BioNTech,292942
2021-05-29,Italy,Johnson&Johnson,18919
2021-05-29,Italy,Oxford/AstraZeneca,50604
2021-05-30,Italy,Pfizer/BioNTech,260862
2021-05-30,Italy,Johnson&Johnson,56582
2021-05-30,Italy,Oxford/AstraZeneca,76108
2021-05-31,Italy,Pfizer/BioNTech,253093
2021-05-31,Italy,Johnson&Johnson,67257
2021-05-31,Italy,Oxford/AstraZeneca,66782
2021-06-01,Italy,Pfizer/BioNTech,289668
2021-06-01,Italy,Johnson&Johnson,37947
2021-06-01,Italy,Oxford/AstraZeneca,38011
2021-06-02,Italy,Pfizer/BioNTech,442873
2021-06-02,Italy,Johnson&Johnson,37954
2021-06-02,Italy,Oxford/AstraZeneca,64830
2021-06-03,Italy,Pfizer/BioNTech,464517
2021-06-03,Italy,Johnson&Johnson,48062
2021-06-03,Italy,Oxford/AstraZeneca,63015
2021-06-04,Italy,Pfizer/BioNTech,452111
2021-06-04,Italy,Johnson&Johnson,57405
2021-06-04,Italy,Oxford/AstraZeneca,65739
2021-06-05,Italy,Pfizer/BioNTech,365453
2021-06-05,Italy,Johnson&Johnson,49156
2021-06-05,Italy,Oxford/AstraZeneca,67872
2021-06-06,Italy,Pfizer/BioNTech,412585
2021-06-06,Italy,Johnson&Johnson,37407
2021-06-06,Italy,Oxford/AstraZeneca,75804
2021-06-07,Italy,Pfizer/BioNTech,400052
2021-06-07,Italy,Johnson&Johnson,41099
2021-06-07,Italy,Oxford/AstraZeneca,80849
2021-06-08,Italy,Pfizer/BioNTech,402915
2021-06-08,Italy,Johnson&Johnson,38515
2021-06-08,Italy,Oxford/AstraZeneca,86426
2021-06-09,Italy,Pfizer/BioNTech,483265
2021-06-09,Italy,Johnson&Johnson,33007
2021-06-09,Italy,Oxford/AstraZeneca,75455
2021-06-10,Italy,Pfizer/BioNTech,496427
2021-06-10,Italy,Johnson&Johnson,24089
2021-06-10,Italy,Oxford/AstraZeneca,64008
2021-06-11,Italy,Pfizer/BioNTech,479279
2021-06-11,Italy,Johnson&Johnson,15219
2021-06-11,Italy,Oxford/AstraZeneca,27075
2021-06-12,Italy,Pfizer/BioNTech,363333
2021-06-12,Italy,Johnson&Johnson,5741
2021-06-12,Italy,Oxford/AstraZeneca,17540
2021-06-13,Italy,Pfizer/BioNTech,440292
2021-06-13,Italy,Johnson&Johnson,6883
2021-06-13,Italy,Oxford/AstraZeneca,31821
2021-06-14,Italy,Pfizer/BioNTech,415137
2021-06-14,Italy,Johnson&Johnson,7120
2021-06-14,Italy,Oxford/AstraZeneca,37612
2021-06-15,Italy,Pfizer/BioNTech,418431
2021-06-15,Italy,Johnson&Johnson,8048
2021-06-15,Italy,Oxford/AstraZeneca,44839
2021-06-16,Italy,Pfizer/BioNTech,485700
2021-06-16,Italy,Johnson&Johnson,7968
2021-06-16,Italy,Oxford/AstraZeneca,42658
2021-06-17,Italy,Pfizer/BioNTech,505780
2021-06-17,Italy,Johnson&Johnson,5962
2021-06-17,Italy,Oxford/AstraZeneca,42096
2021-06-18,Italy,Pfizer/BioNTech,464585
2021-06-18,Italy,Johnson&Johnson,4509
2021-06-18,Italy,Oxford/AstraZeneca,35178
2021-06-19,Italy,Pfizer/BioNTech,357824
2021-06-19,Italy,Johnson&Johnson,2561
2021-06-19,Italy,Oxford/AstraZeneca,30315
2021-06-20,Italy,Pfizer/BioNTech,442000
2021-06-20,Italy,Johnson&Johnson,4871
2021-06-20,Italy,Oxford/AstraZeneca,52029
2021-06-21,Italy,Pfizer/BioNTech,430387
2021-06-21,Italy,Johnson&Johnson,5231
2021-06-21,Italy,Oxford/AstraZeneca,51598
2021-06-22,Italy,Pfizer/BioNTech,422546
2021-06-22,Italy,Johnson&Johnson,5677
2021-06-22,Italy,Oxford/AstraZeneca,54096
2021-06-23,Italy,Pfizer/BioNTech,510320
2021-06-23,Italy,Johnson&Johnson,5498
2021-06-23,Italy,Oxford/AstraZeneca,45158
2021-06-24,Italy,Pfizer/BioNTech,503413
2021-06-24,Italy,Johnson&Johnson,5072
2021-06-24,Italy,Oxford/AstraZeneca,59835
2021-06-25,Italy,Pfizer/BioNTech,444439
2021-06-25,Italy,Johnson&Johnson,3600
2021-06-25,Italy,Oxford/AstraZeneca,52419
2021-06-26,Italy,Pfizer/BioNTech,338687
2021-06-26,Italy,Johnson&Johnson,3285
2021-06-26,Italy,Oxford/AstraZeneca,42235
2021-06-27,Italy,Pfizer/BioNTech,428643
2021-06-27,Italy,Johnson&Johnson,4036
2021-06-27,Italy,Oxford/AstraZeneca,67994
2021-06-28,Italy,Pfizer/BioNTech,389731
2021-06-28,Italy,Johnson&Johnson,3701
2021-06-28,Italy,Oxford/AstraZeneca,95212
2021-06-29,Italy,Pfizer/BioNTech,394869
2021-06-29,Italy,Johnson&Johnson,4810
2021-06-29,Italy,Oxford/AstraZeneca,105155
2021-06-30,Italy,Pfizer/BioNTech,429077
2021-06-30,Italy,Johnson&Johnson,5088
2021-06-30,Italy,Oxford/AstraZeneca,84639
2021-07-01,Italy,Pfizer/BioNTech,414179
2021-07-01,Italy,Johnson&Johnson,4205
2021-07-01,Italy,Oxford/AstraZeneca,86167
2021-07-02,Italy,Pfizer/BioNTech,389566
2021-07-02,Italy,Johnson&Johnson,2778
